ts,VCH1s,VCH2s
-0.0008,-0.18,-0.017
-0.0007992,-0.156,-0.005
-0.0007984,-0.164,-0.009000000000000001
-0.0007976000000000001,-0.18,-0.005
-0.0007968000000000001,-0.17200000000000001,-0.005
-0.000796,-0.164,-0.013000000000000001
-0.0007952,-0.17200000000000001,-0.017
-0.0007944,-0.17200000000000001,-0.005
-0.0007936,-0.164,-0.021
-0.0007928000000000001,-0.148,-0.007
-0.0007920000000000001,-0.164,-0.001
-0.0007912,-0.164,-0.003
-0.0007904,-0.14,-0.003
-0.0007896,-0.148,-0.005
-0.0007888000000000001,-0.156,-0.001
-0.0007880000000000001,-0.148,-0.025
-0.0007872,-0.14,-0.013000000000000001
-0.0007864,-0.148,-0.001
-0.0007856,-0.148,-0.021
-0.0007848,-0.124,-0.001
-0.0007840000000000001,-0.132,-0.013000000000000001
-0.0007832000000000001,-0.132,-0.001
-0.0007824,-0.116,-0.019
-0.0007816,-0.124,-0.001
-0.0007808,-0.124,-0.005
-0.0007800000000000001,-0.124,-0.007
-0.0007792000000000001,-0.108,-0.015
-0.0007784000000000001,-0.1,0.009000000000000001
-0.0007776,-0.124,-0.031
-0.0007768,-0.1,-0.015
-0.000776,-0.1,-0.011
-0.0007752000000000001,-0.1,-0.009000000000000001
-0.0007744000000000001,-0.1,0.001
-0.0007736,-0.092,-0.013000000000000001
-0.0007728,-0.076,0.017
-0.000772,-0.092,0.001
-0.0007712,-0.084,-0.011
-0.0007704000000000001,-0.068,-0.001
-0.0007696000000000001,-0.084,-0.029
-0.0007688,-0.076,-0.001
-0.000768,-0.068,-0.033
-0.0007672,-0.06,0.011
-0.0007664000000000001,-0.06,0.003
-0.0007656000000000001,-0.06,-0.001
-0.0007648,-0.044,-0.007
-0.000764,-0.044,-0.001
-0.0007632,-0.052000000000000005,-0.007
-0.0007624,-0.044,-0.023
-0.0007616000000000001,-0.036000000000000004,0.001
-0.0007608000000000001,-0.036000000000000004,0.003
-0.00076,-0.044,0.001
-0.0007592,-0.028,-0.005
-0.0007584,-0.02,-0.001
-0.0007576,-0.02,0.013000000000000001
-0.0007568000000000001,-0.02,-0.013000000000000001
-0.000756,-0.004,-0.001
-0.0007552,-0.004,0.005
-0.0007544,-0.012,0.007
-0.0007536,-0.004,-0.007
-0.0007528000000000001,0.004,-0.003
-0.0007520000000000001,0.004,-0.005
-0.0007512,0.004,-0.001
-0.0007504,0.004,-0.019
-0.0007496,0.028,0.007
-0.0007488,0.012,0.005
-0.0007480000000000001,0.036000000000000004,0.007
-0.0007472000000000001,0.036000000000000004,0.005
-0.0007464,0.036000000000000004,0.005
-0.0007456,0.036000000000000004,0.001
-0.0007448,0.028,-0.015
-0.0007440000000000001,0.052000000000000005,0.003
-0.0007432000000000001,0.036000000000000004,0.003
-0.0007424,0.044,-0.007
-0.0007416,0.06,0.005
-0.0007408,0.06,0.015
-0.00074,0.052000000000000005,-0.001
-0.0007392000000000001,0.076,0.007
-0.0007384000000000001,0.068,0.005
-0.0007376,0.068,0.019
-0.0007368,0.076,-0.011
-0.000736,0.076,0.001
-0.0007352000000000001,0.084,0.009000000000000001
-0.0007344000000000001,0.068,-0.001
-0.0007336,0.084,0.001
-0.0007328,0.092,0.013000000000000001
-0.000732,0.092,0.019
-0.0007312,0.1,0.007
-0.0007304000000000001,0.1,-0.009000000000000001
-0.0007296000000000001,0.116,0.023
-0.0007288,0.108,0.003
-0.000728,0.116,0.005
-0.0007272,0.108,0.001
-0.0007264000000000001,0.116,0.021
-0.0007256000000000001,0.116,-0.007
-0.0007248,0.116,-0.003
-0.000724,0.124,-0.001
-0.0007232,0.124,0.015
-0.0007224,0.132,0.007
-0.0007216000000000001,0.132,0.007
-0.0007208000000000001,0.14,0.023
-0.00072,0.148,0.025
-0.0007192,0.148,-0.007
-0.0007184,0.14,0.013000000000000001
-0.0007176000000000001,0.14,0.007
-0.0007168000000000001,0.148,0.003
-0.0007160000000000001,0.14,0.009000000000000001
-0.0007152,0.14,0.007
-0.0007144,0.148,0.025
-0.0007136,0.164,0.003
-0.0007128000000000001,0.156,0.013000000000000001
-0.0007120000000000001,0.164,0.029
-0.0007112,0.148,-0.007
-0.0007104,0.164,0.009000000000000001
-0.0007096,0.156,0.005
-0.0007088000000000001,0.164,0.017
-0.0007080000000000001,0.17200000000000001,-0.003
-0.0007072000000000001,0.17200000000000001,0.007
-0.0007064,0.164,0.009000000000000001
-0.0007056,0.17200000000000001,0.017
-0.0007048,0.188,0.011
-0.000704,0.18,0.019
-0.0007032000000000001,0.17200000000000001,0.017
-0.0007024,0.18,-0.001
-0.0007016,0.18,0.007
-0.0007008,0.17200000000000001,-0.001
-0.0007000000000000001,0.17200000000000001,0.017
-0.0006992000000000001,0.18,-0.007
-0.0006984000000000001,0.188,0.021
-0.0006976,0.17200000000000001,0.001
-0.0006968,0.18,0.023
-0.000696,0.188,-0.001
-0.0006952,0.17200000000000001,0.019
-0.0006944000000000001,0.18,0.027
-0.0006936,0.18,0.007
-0.0006928,0.188,0.011
-0.000692,0.164,0.005
-0.0006912000000000001,0.18,0.015
-0.0006904000000000001,0.18,0.001
-0.0006896000000000001,0.18,0.017
-0.0006888,0.17200000000000001,0.027
-0.000688,0.188,0.007
-0.0006872,0.196,0.019
-0.0006864,0.17200000000000001,0.011
-0.0006856000000000001,0.18,0.019
-0.0006848000000000001,0.18,0.009000000000000001
-0.000684,0.17200000000000001,0.005
-0.0006832,0.17200000000000001,0.017
-0.0006824,0.164,-0.005
-0.0006816000000000001,0.18,0.011
-0.0006808000000000001,0.164,0.011
-0.00068,0.164,0.011
-0.0006792,0.18,0.021
-0.0006784,0.17200000000000001,0.023
-0.0006776,0.164,0.019
-0.0006768000000000001,0.17200000000000001,0.009000000000000001
-0.0006760000000000001,0.17200000000000001,0.013000000000000001
-0.0006752,0.164,0.011
-0.0006744,0.148,0.009000000000000001
-0.0006736000000000001,0.164,0.011
-0.0006728000000000001,0.164,0.003
-0.0006720000000000001,0.148,0.025
-0.0006712,0.148,-0.007
-0.0006704,0.164,0.033
-0.0006696,0.148,0.015
-0.0006688,0.14,0.021
-0.0006680000000000001,0.148,0.009000000000000001
-0.0006672000000000001,0.14,0.005
-0.0006664,0.132,-0.001
-0.0006656,0.132,0.001
-0.0006648,0.14,-0.003
-0.0006640000000000001,0.14,0.013000000000000001
-0.0006632000000000001,0.124,0.017
-0.0006624000000000001,0.132,0.005
-0.0006616,0.14,0.021
-0.0006608,0.124,0.009000000000000001
-0.00066,0.124,0.011
-0.0006592,0.124,0.005
-0.0006584000000000001,0.124,0.009000000000000001
-0.0006576,0.116,0.019
-0.0006568,0.1,0.009000000000000001
-0.000656,0.116,0.001
-0.0006552000000000001,0.1,0.011
-0.0006544000000000001,0.092,0.003
-0.0006536000000000001,0.092,0.011
-0.0006528,0.1,0.009000000000000001
-0.000652,0.092,0.011
-0.0006512,0.092,0.013000000000000001
-0.0006504,0.1,0.007
-0.0006496000000000001,0.084,0.005
-0.0006488,0.084,0.021
-0.000648,0.068,-0.003
-0.0006472,0.084,0.011
-0.0006464000000000001,0.068,-0.005
-0.0006456000000000001,0.068,0.001
-0.0006448000000000001,0.076,0.003
-0.000644,0.06,-0.003
-0.0006432,0.06,0.027
-0.0006424,0.044,0.005
-0.0006416,0.06,0.011
-0.0006408000000000001,0.044,0.011
-0.00064,0.044,0.013000000000000001
-0.0006392,0.036000000000000004,0.003
-0.0006384,0.044,0.011
-0.0006376000000000001,0.02,0.007
-0.0006368000000000001,0.02,-0.001
-0.0006360000000000001,0.028,-0.011
-0.0006352,0.02,0.003
-0.0006344,0.012,-0.001
-0.0006336,0.004,0.009000000000000001
-0.0006328,0.02,0.007
-0.0006320000000000001,0.004,0.017
-0.0006312000000000001,-0.004,0.005
-0.0006304,-0.004,-0.007
-0.0006296,0.012,0.015
-0.0006288000000000001,-0.012,-0.001
-0.0006280000000000001,-0.012,-0.001
-0.0006272000000000001,-0.004,-0.003
-0.0006264,-0.02,0.005
-0.0006256,-0.028,-0.007
-0.0006248,-0.028,-0.013000000000000001
-0.000624,-0.02,0.017
-0.0006232000000000001,-0.052000000000000005,-0.001
-0.0006224000000000001,-0.036000000000000004,0.019
-0.0006216,-0.044,-0.009000000000000001
-0.0006208,-0.044,0.017
-0.0006200000000000001,-0.052000000000000005,-0.007
-0.0006192000000000001,-0.052000000000000005,-0.001
-0.0006184000000000001,-0.052000000000000005,0.003
-0.0006176,-0.052000000000000005,0.009000000000000001
-0.0006168,-0.068,-0.021
-0.000616,-0.06,0.001
-0.0006152,-0.076,-0.015
-0.0006144000000000001,-0.076,0.003
-0.0006136000000000001,-0.076,0.001
-0.0006128,-0.092,-0.011
-0.000612,-0.084,0.023
-0.0006112000000000001,-0.092,-0.013000000000000001
-0.0006104000000000001,-0.084,-0.001
-0.0006096000000000001,-0.084,-0.003
-0.0006088,-0.1,-0.003
