Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0002
Sample Interval,1.6e-06
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-1.600e-03,3.96
-1.598e-03,3.92
-1.597e-03,3.92
-1.595e-03,3.92
-1.594e-03,3.92
-1.592e-03,3.96
-1.590e-03,3.96
-1.589e-03,3.92
-1.587e-03,3.96
-1.586e-03,3.92
-1.584e-03,3.92
-1.582e-03,3.92
-1.581e-03,3.96
-1.579e-03,3.92
-1.578e-03,3.96
-1.576e-03,3.92
-1.574e-03,3.96
-1.573e-03,3.96
-1.571e-03,3.96
-1.570e-03,3.96
-1.568e-03,3.96
-1.566e-03,3.96
-1.565e-03,3.96
-1.563e-03,3.96
-1.562e-03,3.96
-1.560e-03,3.92
-1.558e-03,3.96
-1.557e-03,3.96
-1.555e-03,3.92
-1.554e-03,3.92
-1.552e-03,3.96
-1.550e-03,3.92
-1.549e-03,3.96
-1.547e-03,3.96
-1.546e-03,3.96
-1.544e-03,3.96
-1.542e-03,3.96
-1.541e-03,3.92
-1.539e-03,3.96
-1.538e-03,3.96
-1.536e-03,3.96
-1.534e-03,3.96
-1.533e-03,3.96
-1.531e-03,3.96
-1.530e-03,3.96
-1.528e-03,3.96
-1.526e-03,3.96
-1.525e-03,3.92
-1.523e-03,3.92
-1.522e-03,3.96
-1.520e-03,3.92
-1.518e-03,2.8
-1.517e-03,2.72
-1.515e-03,2.64
-1.514e-03,2.56
-1.512e-03,2.48
-1.510e-03,2.44
-1.509e-03,2.36
-1.507e-03,2.32
-1.506e-03,2.28
-1.504e-03,2.24
-1.502e-03,2.16
-1.501e-03,2.12
-1.499e-03,2.04
-1.498e-03,2
-1.496e-03,1.92
-1.494e-03,1.88
-1.493e-03,1.84
-1.491e-03,1.8
-1.490e-03,1.72
-1.488e-03,1.72
-1.486e-03,1.68
-1.485e-03,1.6
-1.483e-03,1.56
-1.482e-03,1.52
-1.480e-03,1.48
-1.478e-03,1.44
-1.477e-03,1.44
-1.475e-03,1.4
-1.474e-03,1.36
-1.472e-03,1.32
-1.470e-03,1.28
-1.469e-03,1.24
-1.467e-03,1.24
-1.466e-03,1.2
-1.464e-03,1.16
-1.462e-03,1.16
-1.461e-03,1.16
-1.459e-03,1.08
-1.458e-03,1.08
-1.456e-03,1.04
-1.454e-03,1
-1.453e-03,1
-1.451e-03,1
-1.450e-03,0.92
-1.448e-03,0.92
-1.446e-03,0.88
-1.445e-03,0.88
-1.443e-03,0.84
-1.442e-03,0.84
-1.440e-03,0.8
-1.438e-03,0.8
-1.437e-03,0.8
-1.435e-03,0.76
-1.434e-03,0.72
-1.432e-03,0.72
-1.430e-03,0.68
-1.429e-03,0.68
-1.427e-03,0.68
-1.426e-03,0.68
-1.424e-03,0.64
-1.422e-03,0.64
-1.421e-03,0.64
-1.419e-03,0.6
-1.418e-03,0.6
-1.416e-03,0.6
-1.414e-03,0.56
-1.413e-03,0.56
-1.411e-03,0.56
-1.410e-03,0.52
-1.408e-03,0.48
-1.406e-03,0.48
-1.405e-03,0.48
-1.403e-03,0.48
-1.402e-03,0.44
-1.400e-03,0.44
-1.398e-03,0.4
-1.397e-03,0.44
-1.395e-03,0.4
-1.394e-03,0.4
-1.392e-03,0.4
-1.390e-03,0.4
-1.389e-03,0.36
-1.387e-03,0.4
-1.386e-03,0.36
-1.384e-03,0.36
-1.382e-03,0.36
-1.381e-03,0.32
-1.379e-03,0.36
-1.378e-03,0.36
-1.376e-03,0.32
-1.374e-03,0.32
-1.373e-03,0.32
-1.371e-03,0.28
-1.370e-03,0.28
-1.368e-03,0.28
-1.366e-03,0.28
-1.365e-03,0.28
-1.363e-03,0.28
-1.362e-03,0.24
-1.360e-03,0.28
-1.358e-03,0.24
-1.357e-03,0.28
-1.355e-03,0.24
-1.354e-03,0.24
-1.352e-03,0.24
-1.350e-03,0.2
-1.349e-03,0.24
-1.347e-03,0.24
-1.346e-03,0.24
-1.344e-03,0.24
-1.342e-03,0.2
-1.341e-03,0.2
-1.339e-03,0.2
-1.338e-03,0.2
-1.336e-03,0.2
-1.334e-03,0.2
-1.333e-03,0.16
-1.331e-03,0.16
-1.330e-03,0.16
-1.328e-03,0.16
-1.326e-03,0.12
-1.325e-03,0.16
-1.323e-03,0.16
-1.322e-03,0.12
-1.320e-03,0.16
-1.318e-03,0.12
-1.317e-03,0.16
-1.315e-03,0.12
-1.314e-03,0.12
-1.312e-03,0.12
-1.310e-03,0.12
-1.309e-03,0.12
-1.307e-03,0.12
-1.306e-03,0.08
-1.304e-03,0.12
-1.302e-03,0.12
-1.301e-03,0.12
-1.299e-03,0.08
-1.298e-03,0.08
-1.296e-03,0.08
-1.294e-03,0.12
-1.293e-03,0.08
-1.291e-03,0.08
-1.290e-03,0.12
-1.288e-03,0.08
-1.286e-03,0.12
-1.285e-03,0.04
-1.283e-03,0.08
-1.282e-03,0.08
-1.280e-03,0.08
-1.278e-03,0.08
-1.277e-03,0.08
-1.275e-03,0.04
-1.274e-03,0.08
-1.272e-03,0.04
-1.270e-03,0.04
-1.269e-03,0.08
-1.267e-03,0.04
-1.266e-03,0.04
-1.264e-03,0.04
-1.262e-03,0.04
-1.261e-03,0.08
-1.259e-03,0.08
-1.258e-03,0.08
-1.256e-03,0.08
-1.254e-03,0.04
-1.253e-03,0.08
-1.251e-03,0.04
-1.250e-03,0.04
-1.248e-03,0.04
-1.246e-03,0.04
-1.245e-03,0.04
-1.243e-03,0.04
-1.242e-03,0.04
-1.240e-03,0
-1.238e-03,0
-1.237e-03,0
-1.235e-03,0.04
-1.234e-03,0.04
-1.232e-03,0.04
-1.230e-03,0
-1.229e-03,0
-1.227e-03,0
-1.226e-03,0
-1.224e-03,0.04
-1.222e-03,0.04
-1.221e-03,0
-1.219e-03,0
-1.218e-03,0
-1.216e-03,0.04
-1.214e-03,0.04
-1.213e-03,0
-1.211e-03,0.04
-1.210e-03,0.04
-1.208e-03,0
-1.206e-03,0.04
-1.205e-03,0.04
-1.203e-03,0.04
-1.202e-03,0
-1.200e-03,0.04
-1.198e-03,0
-1.197e-03,0.04
-1.195e-03,0
-1.194e-03,0.04
-1.192e-03,0
-1.190e-03,0.04
-1.189e-03,0
-1.187e-03,0
-1.186e-03,0
-1.184e-03,0
-1.182e-03,0.04
-1.181e-03,0
-1.179e-03,0
-1.178e-03,0
-1.176e-03,0.04
-1.174e-03,0
-1.173e-03,0.04
-1.171e-03,0
-1.170e-03,0.04
-1.168e-03,0
-1.166e-03,0
-1.165e-03,0
-1.163e-03,0
-1.162e-03,0
-1.160e-03,0
-1.158e-03,0
-1.157e-03,0
-1.155e-03,0
-1.154e-03,0
-1.152e-03,0
-1.150e-03,0
-1.149e-03,0
-1.147e-03,0
-1.146e-03,0
-1.144e-03,0
-1.142e-03,0
-1.141e-03,0
-1.139e-03,-0.04
-1.138e-03,0
-1.136e-03,0
-1.134e-03,0
-1.133e-03,0
-1.131e-03,0
-1.130e-03,-0.04
-1.128e-03,0.04
-1.126e-03,0
-1.125e-03,0
-1.123e-03,0
-1.122e-03,0
-1.120e-03,0.04
-1.118e-03,0
-1.117e-03,0
-1.115e-03,0
-1.114e-03,0
-1.112e-03,0
-1.110e-03,0
-1.109e-03,0
-1.107e-03,0
-1.106e-03,0
-1.104e-03,0
-1.102e-03,0
-1.101e-03,0
-1.099e-03,-0.04
-1.098e-03,-0.04
-1.096e-03,0
-1.094e-03,-0.04
-1.093e-03,0
-1.091e-03,-0.04
-1.090e-03,0
-1.088e-03,0
-1.086e-03,-0.04
-1.085e-03,0
-1.083e-03,0
-1.082e-03,0
-1.080e-03,0
-1.078e-03,0
-1.077e-03,0
-1.075e-03,0
-1.074e-03,0
-1.072e-03,-0.04
-1.070e-03,0
-1.069e-03,0
-1.067e-03,0
-1.066e-03,0
-1.064e-03,-0.04
-1.062e-03,0
-1.061e-03,0
-1.059e-03,0
-1.058e-03,0
-1.056e-03,0
-1.054e-03,0
-1.053e-03,0
-1.051e-03,0
-1.050e-03,0
-1.048e-03,0
-1.046e-03,0
-1.045e-03,-0.04
-1.043e-03,0
-1.042e-03,0
-1.040e-03,0
-1.038e-03,0
-1.037e-03,0
-1.035e-03,0
-1.034e-03,0
-1.032e-03,-0.04
-1.030e-03,0
-1.029e-03,0
-1.027e-03,0
-1.026e-03,0
-1.024e-03,-0.04
-1.022e-03,0
-1.021e-03,-0.04
-1.019e-03,-0.04
-1.018e-03,-0.04
-1.016e-03,0
-1.014e-03,0
-1.013e-03,0
-1.011e-03,1.12
-1.010e-03,1.2
-1.008e-03,1.28
-1.006e-03,1.36
-1.005e-03,1.44
-1.003e-03,1.48
-1.002e-03,1.56
-1.000e-03,1.6
-9.984e-04,1.68
-9.968e-04,1.76
-9.952e-04,1.76
-9.936e-04,1.84
-9.920e-04,1.88
-9.904e-04,1.96
-9.888e-04,2.04
-9.872e-04,2.04
-9.856e-04,2.08
-9.840e-04,2.12
-9.824e-04,2.2
-9.808e-04,2.2
-9.792e-04,2.28
-9.776e-04,2.32
-9.760e-04,2.36
-9.744e-04,2.36
-9.728e-04,2.44
-9.712e-04,2.44
-9.696e-04,2.48
-9.680e-04,2.52
-9.664e-04,2.56
-9.648e-04,2.6
-9.632e-04,2.64
-9.616e-04,2.64
-9.600e-04,2.72
-9.584e-04,2.72
-9.568e-04,2.76
-9.552e-04,2.8
-9.536e-04,2.8
-9.520e-04,2.84
-9.504e-04,2.84
-9.488e-04,2.88
-9.472e-04,2.92
-9.456e-04,2.96
-9.440e-04,2.96
-9.424e-04,3
-9.408e-04,3
-9.392e-04,3.04
-9.376e-04,3.04
-9.360e-04,3.08
-9.344e-04,3.12
-9.328e-04,3.12
-9.312e-04,3.12
-9.296e-04,3.12
-9.280e-04,3.16
