ts,VCH1s,VCH2s
-0.0016,2.5,0.055
-0.0015984,2.5,0.049
-0.0015968,2.5,0.053
-0.0015952000000000002,2.5,0.051000000000000004
-0.0015936000000000001,2.5,0.061
-0.001592,2.3000000000000003,0.057
-0.0015904,2.3000000000000003,0.057
-0.0015888,2.3000000000000003,0.047
-0.0015872,2.3000000000000003,0.053
-0.0015856000000000002,2.3000000000000003,0.055
-0.0015840000000000001,2.3000000000000003,0.053
-0.0015824,2.3000000000000003,0.049
-0.0015808,2.1,0.057
-0.0015792,2.1,0.053
-0.0015776000000000002,2.1,0.051000000000000004
-0.0015760000000000001,2.1,0.055
-0.0015744,1.9000000000000001,0.047
-0.0015728,1.9000000000000001,0.045
-0.0015712,1.9000000000000001,0.051000000000000004
-0.0015696,1.9000000000000001,0.041
-0.0015680000000000002,1.9000000000000001,0.051000000000000004
-0.0015664000000000001,1.9000000000000001,0.047
-0.0015648,1.7000000000000002,0.047
-0.0015632,1.9000000000000001,0.045
-0.0015616,1.7000000000000002,0.051000000000000004
-0.0015600000000000002,1.5,0.047
-0.0015584000000000001,1.5,0.043000000000000003
-0.0015568000000000001,1.5,0.043000000000000003
-0.0015552,1.5,0.041
-0.0015536,1.5,0.039
-0.001552,1.5,0.055
-0.0015504000000000002,1.5,0.045
-0.0015488000000000001,1.5,0.049
-0.0015472,1.3,0.053
-0.0015456,1.3,0.047
-0.001544,1.3,0.045
-0.0015424,1.3,0.049
-0.0015408000000000002,1.3,0.043000000000000003
-0.0015392000000000001,1.1,0.045
-0.0015376,1.1,0.035
-0.001536,1.1,0.043000000000000003
-0.0015344,1.1,0.045
-0.0015328000000000002,1.1,0.043000000000000003
-0.0015312000000000001,1.1,0.047
-0.0015296,0.9,0.041
-0.001528,0.9,0.041
-0.0015264,0.9,0.041
-0.0015248,1.1,0.041
-0.0015232000000000002,0.9,0.031
-0.0015216000000000001,0.9,0.037
-0.00152,0.9,0.029
-0.0015184,0.7000000000000001,0.031
-0.0015168,0.7000000000000001,0.033
-0.0015152,0.7000000000000001,0.037
-0.0015136000000000001,0.7000000000000001,0.041
-0.001512,0.5,0.031
-0.0015104,0.5,0.027
-0.0015088,0.5,0.031
-0.0015072,0.7000000000000001,0.027
-0.0015056000000000002,0.5,0.033
-0.0015040000000000001,0.5,0.029
-0.0015024,0.5,0.031
-0.0015008,0.5,0.031
-0.0014992,0.5,0.023
-0.0014976,0.5,0.027
-0.0014960000000000002,0.5,0.023
-0.0014944000000000001,0.30000000000000004,0.029
-0.0014928,0.30000000000000004,0.023
-0.0014912,0.30000000000000004,0.021
-0.0014896,0.30000000000000004,0.017
-0.0014880000000000002,0.30000000000000004,0.025
-0.0014864000000000001,0.30000000000000004,0.021
-0.0014848,0.30000000000000004,0.019
-0.0014832,0.30000000000000004,0.023
-0.0014816,0.30000000000000004,0.019
-0.00148,0.1,0.023
-0.0014784000000000002,0.1,0.019
-0.0014768000000000001,0.30000000000000004,0.011
-0.0014752,0.1,0.013000000000000001
-0.0014736,0.1,0.019
-0.001472,0.1,0.019
-0.0014704000000000002,0.1,0.013000000000000001
-0.0014688000000000001,0.1,0.011
-0.0014672,0.1,0.007
-0.0014656,0.1,0.001
-0.001464,0.1,0.009000000000000001
-0.0014624,0.1,0.001
-0.0014608000000000002,0.1,0.013000000000000001
-0.0014592000000000001,0.1,0.005
-0.0014576,0.1,0.003
-0.001456,0.1,0.005
-0.0014544,0.1,0.003
-0.0014528000000000002,0.1,-0.001
-0.0014512000000000001,0.1,-0.001
-0.0014496,0.1,0.011
-0.001448,0.1,0.003
-0.0014464,0.1,0.001
-0.0014448,0.1,0.009000000000000001
-0.0014432000000000002,0.1,-0.003
-0.0014416000000000001,-0.1,-0.005
-0.00144,-0.1,-0.003
-0.0014384,0.1,-0.011
-0.0014368,-0.1,0.005
-0.0014352000000000002,0.1,-0.005
-0.0014336000000000002,-0.1,-0.001
-0.0014320000000000001,-0.1,-0.005
-0.0014304,-0.1,-0.003
-0.0014288,-0.1,-0.003
-0.0014272,0.1,-0.013000000000000001
-0.0014256000000000002,-0.1,-0.003
-0.0014240000000000001,0.1,-0.011
-0.0014224,0.1,-0.019
-0.0014208,0.1,-0.011
-0.0014192,0.1,-0.017
-0.0014176000000000002,0.1,-0.009000000000000001
-0.0014160000000000002,0.1,-0.017
-0.0014144000000000001,0.1,-0.015
-0.0014128,0.1,-0.009000000000000001
-0.0014112,0.1,-0.025
-0.0014096,0.1,-0.017
-0.001408,0.1,-0.021
-0.0014064000000000001,0.1,-0.023
-0.0014048,0.1,-0.019
-0.0014032,0.1,-0.015
-0.0014016,0.1,-0.017
-0.0014000000000000002,0.1,-0.021
-0.0013984000000000002,0.1,-0.031
-0.0013968000000000001,0.1,-0.023
-0.0013952,0.1,-0.021
-0.0013936,0.30000000000000004,-0.025
-0.001392,0.30000000000000004,-0.023
-0.0013904,0.30000000000000004,-0.025
-0.0013888000000000001,0.30000000000000004,-0.023
-0.0013872,0.30000000000000004,-0.029
-0.0013856,0.30000000000000004,-0.029
-0.001384,0.5,-0.027
-0.0013824000000000002,0.30000000000000004,-0.033
-0.0013808000000000002,0.5,-0.037
-0.0013792000000000001,0.30000000000000004,-0.023
-0.0013776,0.30000000000000004,-0.035
-0.001376,0.5,-0.039
-0.0013744,0.5,-0.033
-0.0013728,0.5,-0.039
-0.0013712000000000002,0.5,-0.039
-0.0013696000000000001,0.5,-0.035
-0.001368,0.5,-0.037
-0.0013664,0.5,-0.027
-0.0013648,0.7000000000000001,-0.039
-0.0013632000000000002,0.5,-0.041
-0.0013616000000000001,0.7000000000000001,-0.037
-0.00136,0.7000000000000001,-0.039
-0.0013584,0.7000000000000001,-0.047
-0.0013568,0.9,-0.035
-0.0013552,0.7000000000000001,-0.043000000000000003
-0.0013536000000000002,0.9,-0.045
-0.0013520000000000001,0.7000000000000001,-0.041
-0.0013504,1.1,-0.037
-0.0013488,0.9,-0.039
-0.0013472000000000002,1.1,-0.041
-0.0013456000000000002,0.9,-0.041
-0.0013440000000000001,1.1,-0.049
-0.0013424,1.1,-0.047
-0.0013408,1.1,-0.051000000000000004
-0.0013392,1.1,-0.049
-0.0013376,1.1,-0.039
-0.0013360000000000002,1.1,-0.041
-0.0013344000000000001,1.1,-0.043000000000000003
-0.0013328,1.3,-0.045
-0.0013312,1.3,-0.045
-0.0013296,1.3,-0.045
-0.0013280000000000002,1.3,-0.049
-0.0013264000000000001,1.3,-0.053
-0.0013248000000000001,1.3,-0.047
-0.0013232,1.5,-0.053
-0.0013216,1.5,-0.051000000000000004
-0.00132,1.5,-0.057
-0.0013184,1.5,-0.051000000000000004
-0.0013168000000000001,1.5,-0.051000000000000004
-0.0013152,1.5,-0.055
-0.0013136,1.5,-0.059000000000000004
-0.001312,1.7000000000000002,-0.053
-0.0013104000000000002,1.7000000000000002,-0.057
-0.0013088000000000002,1.9000000000000001,-0.055
-0.0013072000000000001,1.9000000000000001,-0.053
-0.0013056,1.9000000000000001,-0.049
-0.001304,1.9000000000000001,-0.057
-0.0013024,2.1,-0.051000000000000004
-0.0013008,1.9000000000000001,-0.055
-0.0012992000000000001,1.9000000000000001,-0.051000000000000004
-0.0012976,2.1,-0.051000000000000004
-0.001296,2.3000000000000003,-0.055
-0.0012944,2.1,-0.045
-0.0012928000000000002,2.3000000000000003,-0.049
-0.0012912000000000002,2.3000000000000003,-0.043000000000000003
-0.0012896000000000001,2.3000000000000003,-0.053
-0.001288,2.3000000000000003,-0.049
-0.0012864,2.3000000000000003,-0.057
-0.0012848,2.3000000000000003,-0.057
-0.0012832,2.3000000000000003,-0.051000000000000004
-0.0012816000000000001,2.3000000000000003,-0.055
-0.00128,2.5,-0.057
-0.0012784,2.5,-0.057
-0.0012768,2.5,-0.057
-0.0012752000000000002,2.5,-0.053
-0.0012736000000000002,2.5,-0.055
-0.0012720000000000001,2.7,-0.059000000000000004
-0.0012704,2.7,-0.059000000000000004
-0.0012688,2.7,-0.059000000000000004
-0.0012672,2.7,-0.053
-0.0012656,2.7,-0.057
-0.0012640000000000001,2.9000000000000004,-0.053
-0.0012624000000000001,2.9000000000000004,-0.049
-0.0012608,2.9000000000000004,-0.047
-0.0012592,2.9000000000000004,-0.053
-0.0012576000000000002,3.1,-0.049
-0.0012560000000000002,3.1,-0.053
-0.0012544000000000001,3.1,-0.055
-0.0012528,3.1,-0.049
-0.0012512,3.1,-0.053
-0.0012496,3.3000000000000003,-0.047
-0.001248,3.3000000000000003,-0.045
-0.0012464000000000002,3.3000000000000003,-0.051000000000000004
-0.0012448000000000001,3.3000000000000003,-0.045
-0.0012432,3.3000000000000003,-0.051000000000000004
-0.0012416,3.3000000000000003,-0.055
-0.0012400000000000002,3.5,-0.049
-0.0012384000000000002,3.5,-0.051000000000000004
-0.0012368000000000001,3.7,-0.047
-0.0012352,3.5,-0.051000000000000004
-0.0012336,3.7,-0.045
-0.001232,3.5,-0.049
-0.0012304,3.7,-0.043000000000000003
-0.0012288000000000002,3.7,-0.047
-0.0012272000000000001,3.7,-0.049
-0.0012256,3.7,-0.045
-0.001224,3.7,-0.055
-0.0012224000000000002,3.9000000000000004,-0.043000000000000003
-0.0012208000000000002,3.9000000000000004,-0.051000000000000004
-0.0012192000000000001,3.9000000000000004,-0.047
-0.0012176,3.9000000000000004,-0.049
-0.001216,3.9000000000000004,-0.045
