ts,VCH1s,VCH2s
-1.6e-05,1.3,-0.047
-1.5983999999999998e-05,1.3,-0.049
-1.5968e-05,1.1,-0.043000000000000003
-1.5952e-05,1.1,-0.049
-1.5935999999999998e-05,1.3,-0.045
-1.592e-05,1.1,-0.047
-1.5904e-05,1.1,-0.045
-1.5887999999999998e-05,1.3,-0.041
-1.5872e-05,1.3,-0.051000000000000004
-1.5856e-05,1.1,-0.035
-1.584e-05,1.1,-0.047
-1.5824e-05,0.9,-0.037
-1.5808e-05,1.1,-0.045
-1.5792e-05,0.9,-0.037
-1.5776e-05,0.9,-0.047
-1.5759999999999998e-05,0.9,-0.037
-1.5744e-05,0.9,-0.041
-1.5728e-05,0.9,-0.047
-1.5711999999999998e-05,0.7000000000000001,-0.029
-1.5696e-05,0.7000000000000001,-0.053
-1.568e-05,0.9,-0.035
-1.5663999999999998e-05,0.7000000000000001,-0.031
-1.5648e-05,0.5,-0.049
-1.5632e-05,0.5,-0.031
-1.5616e-05,0.5,-0.037
-1.56e-05,0.5,-0.041
-1.5584e-05,0.5,-0.031
-1.5568e-05,0.7000000000000001,-0.039
-1.5552e-05,0.5,-0.027
-1.5535999999999998e-05,0.5,-0.043000000000000003
-1.552e-05,0.5,-0.025
-1.5504e-05,0.5,-0.033
-1.5487999999999998e-05,0.5,-0.041
-1.5472e-05,0.5,-0.021
-1.5456e-05,0.30000000000000004,-0.041
-1.5439999999999998e-05,0.30000000000000004,-0.027
-1.5424e-05,0.30000000000000004,-0.035
-1.5408e-05,0.30000000000000004,-0.027
-1.5391999999999998e-05,0.30000000000000004,-0.029
-1.5376e-05,0.30000000000000004,-0.033
-1.536e-05,0.30000000000000004,-0.027
-1.5344e-05,0.30000000000000004,-0.021
-1.5328e-05,0.30000000000000004,-0.033
-1.5312e-05,0.30000000000000004,-0.023
-1.5296e-05,0.1,-0.023
-1.528e-05,0.1,-0.031
-1.5263999999999998e-05,0.1,-0.021
-1.5247999999999999e-05,0.1,-0.023
-1.5232e-05,0.1,-0.025
-1.5216e-05,0.1,-0.025
-1.5199999999999998e-05,0.30000000000000004,-0.019
-1.5183999999999999e-05,0.1,-0.021
-1.5168e-05,0.1,-0.021
-1.5152e-05,0.1,-0.021
-1.5135999999999999e-05,0.1,-0.015
-1.512e-05,0.1,-0.025
-1.5104e-05,0.1,-0.009000000000000001
-1.5087999999999999e-05,0.1,-0.025
-1.5071999999999999e-05,0.1,-0.011
-1.5056e-05,0.1,-0.017
-1.5039999999999998e-05,-0.1,-0.019
-1.5023999999999999e-05,0.1,-0.009000000000000001
-1.5008e-05,0.1,-0.019
-1.4992e-05,-0.1,-0.011
-1.4975999999999999e-05,-0.1,-0.011
-1.4959999999999999e-05,-0.1,-0.011
-1.4944e-05,0.1,-0.013000000000000001
-1.4928e-05,0.1,-0.005
-1.4911999999999999e-05,0.1,-0.015
-1.4896e-05,0.1,0.001
-1.488e-05,-0.1,-0.013000000000000001
-1.4863999999999999e-05,0.1,-0.007
-1.4847999999999999e-05,0.1,-0.003
-1.4832e-05,-0.1,-0.003
-1.4815999999999998e-05,-0.1,-0.011
-1.4799999999999999e-05,-0.1,0.003
-1.4784e-05,0.1,-0.003
-1.4768e-05,0.1,-0.013000000000000001
-1.4751999999999999e-05,-0.1,0.009000000000000001
-1.4736e-05,-0.1,-0.005
-1.472e-05,0.1,-0.003
-1.4703999999999998e-05,0.1,0.005
-1.4687999999999999e-05,0.1,0.005
-1.4672e-05,0.1,-0.005
-1.4656e-05,0.1,0.013000000000000001
-1.4639999999999999e-05,0.1,0.001
-1.4624e-05,0.1,0.003
-1.4608e-05,0.30000000000000004,0.009000000000000001
-1.4591999999999999e-05,0.1,0.003
-1.4575999999999999e-05,0.1,0.009000000000000001
